companies,ciks,form,rootForms,fileDate,periodEnding,accessionNumber,fileNumbers,states,sics,indexUrl,scrapedAt
"MPHASE TECHNOLOGIES, INC.  (XDSL)  (CIK 0000825322)",0000825322,10-K,10-K,2021-10-13,2021-06-30,0001493152-21-025336,000-30202,MD,3690,https://www.sec.gov/Archives/edgar/data/825322/000149315221025336/0001493152-21-025336-index.htm,2026-06-22T20:32:22.802Z
"DOMO, INC.  (DOMO)  (CIK 0001505952)",0001505952,10-K,10-K,2026-04-16,2026-01-31,0001628280-26-025356,001-38553,UT,7372,https://www.sec.gov/Archives/edgar/data/1505952/000162828026025356/0001628280-26-025356-index.htm,2026-06-22T20:32:22.830Z
Pulse Evolution Corp  (CIK 0001583138),0001583138,10-K,10-K,2016-05-20,2015-06-30,0001493152-16-010132,333-190431,FL,7819,https://www.sec.gov/Archives/edgar/data/1583138/000149315216010132/0001493152-16-010132-index.htm,2026-06-22T20:32:22.855Z
Kinetic Seas Inc.  (KSEZ)  (CIK 0001945619),0001945619,10-K,10-K,2026-05-29,2025-12-31,0001683168-26-004391,000-56478,IL,6770,https://www.sec.gov/Archives/edgar/data/1945619/000168316826004391/0001683168-26-004391-index.htm,2026-06-22T20:32:22.891Z
MPHASE TECHNOLOGIES INC  (XDSL)  (CIK 0000825322),0000825322,10-K,10-K,2021-01-05,2020-06-30,0001493152-21-000239,000-30202,MD,3690,https://www.sec.gov/Archives/edgar/data/825322/000149315221000239/0001493152-21-000239-index.htm,2026-06-22T20:32:22.917Z
"DOMO, INC.  (DOMO)  (CIK 0001505952)",0001505952,10-K,10-K,2025-04-04,2025-01-31,0001505952-25-000045,001-38553,UT,7372,https://www.sec.gov/Archives/edgar/data/1505952/000150595225000045/0001505952-25-000045-index.htm,2026-06-22T20:32:22.942Z
Varagon Capital Corp  (CIK 0001784700),0001784700,10-K,10-K,2026-03-18,2025-12-31,0001193125-26-114266,000-56450,NY,,https://www.sec.gov/Archives/edgar/data/1784700/000119312526114266/0001193125-26-114266-index.htm,2026-06-22T20:32:22.980Z
Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),0002017758,10-K,10-K,2026-03-26,2025-12-31,0001213900-26-034538,001-42652,CA,6531,https://www.sec.gov/Archives/edgar/data/2017758/000121390026034538/0001213900-26-034538-index.htm,2026-06-22T20:32:23.000Z
Kinetic Seas Inc.  (KSEZ)  (CIK 0001945619),0001945619,10-K,10-K,2025-04-24,2024-12-31,0001683168-25-002782,000-56478,IL,6770,https://www.sec.gov/Archives/edgar/data/1945619/000168316825002782/0001683168-25-002782-index.htm,2026-06-22T20:32:23.024Z
Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),0002017758,10-K/A,10-K,2026-05-19,2025-12-31,0001213900-26-059081,001-42652,CA,6531,https://www.sec.gov/Archives/edgar/data/2017758/000121390026059081/0001213900-26-059081-index.htm,2026-06-22T20:32:23.143Z
"Inuvo, Inc.  (INUV)  (CIK 0000829323)",0000829323,10-K,10-K,2025-02-27,2024-12-31,0001654954-25-002032,001-32442,AR,7310,https://www.sec.gov/Archives/edgar/data/829323/000165495425002032/0001654954-25-002032-index.htm,2026-06-22T20:32:23.190Z
DATASEA INC.  (DTSS)  (CIK 0001631282),0001631282,10-K,10-K,2022-09-28,2022-06-30,0001213900-22-059573,001-38767,F4,7372,https://www.sec.gov/Archives/edgar/data/1631282/000121390022059573/0001213900-22-059573-index.htm,2026-06-22T20:32:23.205Z
"SEMrush Holdings, Inc.  (SEMR)  (CIK 0001831840)",0001831840,10-K,10-K,2025-03-03,2024-12-31,0001628280-25-009448,001-40276,MA,7372,https://www.sec.gov/Archives/edgar/data/1831840/000162828025009448/0001628280-25-009448-index.htm,2026-06-22T20:32:23.246Z
INNODATA INC  (INOD)  (CIK 0000903651),0000903651,10-K,10-K,2026-02-26,2025-12-31,0001104659-26-020655,001-35774,NJ,7374,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/0001104659-26-020655-index.htm,2026-06-22T20:32:23.264Z
SPECTRAL CAPITAL Corp  (FCCN)  (CIK 0001131903),0001131903,10-K,10-K,2026-03-31,2025-12-31,0001096906-26-000430,000-50274,WA,7374,https://www.sec.gov/Archives/edgar/data/1131903/000109690626000430/0001096906-26-000430-index.htm,2026-06-22T20:32:23.283Z
"SEMrush Holdings, Inc.  (SEMR)  (CIK 0001831840)",0001831840,10-K,10-K,2026-03-02,2025-12-31,0001628280-26-013259,001-40276,MA,7372,https://www.sec.gov/Archives/edgar/data/1831840/000162828026013259/0001628280-26-013259-index.htm,2026-06-22T20:32:23.304Z
AMAZON COM INC  (AMZN)  (CIK 0001018724),0001018724,10-K,10-K,2026-02-06,2025-12-31,0001018724-26-000004,000-22513,WA,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/0001018724-26-000004-index.htm,2026-06-22T20:32:23.316Z
DATASEA INC.  (DTSS)  (CIK 0001631282),0001631282,10-K,10-K,2023-09-27,2023-06-30,0001213900-23-079920,001-38767,F4,7372,https://www.sec.gov/Archives/edgar/data/1631282/000121390023079920/0001213900-23-079920-index.htm,2026-06-22T20:32:23.338Z
